2018-01-15 04:06:23 Unknown item (entry=1896) in creature_equip_template.itemEntry1 for entry = 488, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2051) in creature_equip_template.itemEntry2 for entry = 488, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2551) in creature_equip_template.itemEntry3 for entry = 488, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1897) in creature_equip_template.itemEntry1 for entry = 489, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1957) in creature_equip_template.itemEntry2 for entry = 489, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2551) in creature_equip_template.itemEntry3 for entry = 489, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1897) in creature_equip_template.itemEntry1 for entry = 490, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2053) in creature_equip_template.itemEntry2 for entry = 490, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2551) in creature_equip_template.itemEntry3 for entry = 490, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1909) in creature_equip_template.itemEntry1 for entry = 491, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2180) in creature_equip_template.itemEntry1 for entry = 494, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2551) in creature_equip_template.itemEntry3 for entry = 494, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2180) in creature_equip_template.itemEntry1 for entry = 495, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2551) in creature_equip_template.itemEntry3 for entry = 495, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2180) in creature_equip_template.itemEntry1 for entry = 496, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2180) in creature_equip_template.itemEntry1 for entry = 497, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2180) in creature_equip_template.itemEntry1 for entry = 498, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2180) in creature_equip_template.itemEntry1 for entry = 499, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2551) in creature_equip_template.itemEntry3 for entry = 499, forced to 0.
